standar,term_localName,label,definition,usage,notes,type,controlled value string,tdwgutility_organizedInClass,SKOS_inSchema,tdwgutility_repeatable,examples,database,vann_preferredNamespacePrefix,vann_preferredNamespaceUri
plic: terms,InteractionSpeciesType,Species Interaction Type,String with the type of interaction. Each element is seperated by comma and each list of elements by.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Interactions,,,,plic,plic,http://rs.tdwg.org/plic/terms/
plic: terms,invasivenessAtomized,Atomized Invasiveness,invasiveness element in structured format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Invasiveness,,,,plic,plic,http://rs.tdwg.org/plic/terms/
plic: terms,invasivenessUnstructured,Unstructured Invasiveness,invasiveness element in text block format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Invasiveness,,,,plic,plic,http://rs.tdwg.org/plic/terms/
plic: terms,origin,Origin,"Controlled vocabulary: Indigenous, Exotic, Unknown.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Invasiveness,,,,plic,plic,http://rs.tdwg.org/plic/terms/
plic: terms,presence,Presence ,"Controlled vocabulary: Absent, SometimesPresent, Present, Unknown, Reported.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Invasiveness,,,,plic,plic,http://rs.tdwg.org/plic/terms/
plic: terms,persistence,Persistence,"Controlled vocabulary: Persistent, Temporary, Transient, DiedOut, Unknown.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Invasiveness,,,,plic,plic,http://rs.tdwg.org/plic/terms/
plic: terms,distribution,Distribution,"Controlled vocabulary: Widespread, Moderate, Localized, Unknown.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Invasiveness,,,,plic,plic,http://rs.tdwg.org/plic/terms/
plic: terms,harmful,Harmful,"Controlled vocabulary: Yes, No, Potentially, Unknown.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Invasiveness,,,,plic,plic,http://rs.tdwg.org/plic/terms/
plic: terms,countryCode,Country Code,The standard code for the country in which the Location occurs. Recommended best practice is to use ISO 3166-1-alpha-2 country codes.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Invasiveness,,,,plic,plic,http://rs.tdwg.org/plic/terms/
plic: terms,stateProvince,State Province,"The name of the next smaller administrative region than country (state, 
province, canton, department, region, etc.) in which the Location 
occurs.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Invasiveness,,,,plic,plic,http://rs.tdwg.org/plic/terms/
plic: terms,county,County,"The full, unabbreviated name of the next smaller administrative region 
than stateProvince (county, shire, department, etc.) in which the 
Location occurs.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Invasiveness,,,,plic,plic,http://rs.tdwg.org/plic/terms/
